t[s],J(s1-s2),J(s2-s3),J(s3-s4),J(s4-s5)
59.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,0.0
76.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0,0.0
83.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0,0.0
98.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
101.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.0
103.0,0.0,0.0,0.0,0.0
104.0,0.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0,0.0
106.0,0.002658120484886742,-0.008653323766234003,-0.48093733462825256,0.0
107.0,0.0,0.0,0.0,0.0
108.0,0.0,0.0,0.0,0.0
109.0,0.0,0.0,0.0,0.0
110.0,0.0,0.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,0.0
113.0,0.0,0.0,0.0,0.0
114.0,0.0,0.0,0.0,0.0
115.0,0.0,0.0,0.0,0.0
116.0,0.0,0.0,0.0,0.0
117.0,0.0,0.0,0.0,0.0
118.0,0.0,0.0,0.0,0.0
119.0,0.0,0.0,0.0,0.0
120.0,0.0,0.0,0.0,0.0
121.0,0.0,0.0,0.0,0.0
122.0,0.0,0.0,0.0,0.0
123.0,0.0,0.0,0.0,0.0
124.0,0.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0
127.0,0.0,0.0,0.0,0.0
128.0,0.0,0.0,0.0,0.0
129.0,0.0,0.0,0.0,0.0
130.0,0.0,0.0,0.0,0.0
131.0,0.0,0.0,0.0,0.0
132.0,0.0,0.0,0.0,0.0
133.0,0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0
136.0,0.0,0.0,0.0,0.0
137.0,0.0,0.0,0.0,0.0
138.0,0.0,0.0,0.0,0.0
139.0,0.0,0.0,0.0,0.0
140.0,0.0,0.0,0.0,0.0
141.0,0.0,0.0,0.0,0.0
142.0,0.0,0.0,0.0,0.0
143.0,0.0,0.0,0.0,0.0
144.0,0.0,0.0,0.0,0.0
145.0,0.0,0.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0
147.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0
151.0,0.0,0.0,0.0,0.0
152.0,0.0,0.0,0.0,0.0
153.0,0.0,0.0,0.0,0.0
154.0,0.0,0.0,0.0,0.0
155.0,0.0,0.0,0.0,0.0
156.0,0.0,0.0,0.0,0.0
157.0,0.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0
160.0,0.0,0.0,0.0,0.0
161.0,0.0,0.0,0.0,0.0
162.0,0.0,0.0,0.0,0.0
163.0,0.0,0.0,0.0,0.0
164.0,0.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0
166.0,0.0,0.0,0.0,0.0
167.0,0.0,0.0,0.0,0.0
168.0,0.0,0.0,0.0,0.0
169.0,0.0,0.0,0.0,0.0
170.0,0.0,0.0,0.0,0.0
171.0,0.0,0.0,0.0,0.0
172.0,0.0,0.0,0.0,0.0
173.0,0.0,0.0,0.0,0.0
174.0,0.0,0.0,0.0,0.0
175.0,0.0,0.0,0.0,0.0
176.0,0.0,0.0,0.0,0.0
177.0,0.0,0.0,0.0,0.0
178.0,0.0,0.0,0.0,0.0
179.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0
181.0,0.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0,0.0
183.0,0.0,0.0,0.0,0.0
184.0,0.0,0.0,0.0,0.0
185.0,0.0,0.0,0.0,0.0
186.0,0.0,0.0,0.0,0.0
187.0,0.0,0.0,0.0,0.0
188.0,0.0,0.0,0.0,0.0
189.0,0.0,0.0,0.0,0.0
190.0,0.0,0.0,0.0,0.0
191.0,0.0,0.0,0.0,0.0
192.0,0.0,0.0,0.0,0.0
193.0,0.0,0.0,0.0,0.0
194.0,0.0,0.0,0.0,0.0
195.0,0.0,0.0,0.0,0.0
196.0,0.0,0.0,0.0,0.0
197.0,0.0,0.0,0.0,0.0
198.0,0.0,0.0,0.0,0.0
199.0,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0
201.0,0.0,0.0,0.0,0.0
202.0,0.0,0.0,0.0,0.0
203.0,0.0,0.0,0.0,0.0
204.0,0.0,0.0,0.0,0.0
205.0,0.0,0.0,0.0,0.0
206.0,-0.004767629958018419,0.005924076070225901,-0.48719800628872356,0.0
207.0,-0.00581495052209751,0.0009482647894527241,-0.4801417933406553,0.0
208.0,-0.0038511231473550333,-9.304616450242727e-05,-0.48151293707806675,0.0
209.0,-0.005941858253950068,0.0023983701429879057,-0.48203710988509585,0.0
210.0,-0.003652035599954359,0.0015478473973500727,-0.48380589273572144,0.0
211.0,-0.005200344729791507,0.0008632063623243519,-0.4812014025515375,0.0
212.0,-0.0022591958790932195,-0.0017464098398269796,-0.4820995173810407,0.0
213.0,-0.0034278162021983386,0.0003024943604879759,-0.48181038621324745,0.0
214.0,-0.006446621926952145,0.004046517109668111,-0.48494601369330836,0.0
215.0,-0.004107441673803509,-0.0002792996392496948,-0.4813545943680297,0.0
216.0,-0.007439765233570257,0.002898994914075784,-0.4805493492108819,0.0
217.0,-0.006255854219143573,0.0035307317696443444,-0.4828235600168974,0.0
218.0,-0.0032380204118387518,-0.001788183522366698,-0.48055499590892164,0.0
219.0,-0.003919722637966541,0.0004756131116357971,-0.48168756377999306,0.0
220.0,-0.005275364268262149,-0.00010831866522394471,-0.4794708330018584,0.0
221.0,-0.006030296183879127,0.002936645642135675,-0.4836369744558972,0.0
222.0,-0.007058104238035252,0.003714283734487585,-0.4842831902193306,0.0
223.0,-0.0017139580618526578,-0.002236296968093792,-0.48224973009293676,0.0
224.0,-0.0066189416109457425,0.0038043940548339664,-0.48242894976005407,0.0
225.0,-0.006766848639798432,0.002120589400498221,-0.48286712193308523,0.0
226.0,-0.004928384761964703,0.0015973966940833534,-0.4821808954814122,0.0
227.0,-0.0033054657155943187,-0.0017957402662994002,-0.4809020744592765,0.0
228.0,-0.0036750499710328424,-0.0015678845569985734,-0.48165330489219316,0.0
229.0,-0.005245282232653914,0.001720298720975954,-0.4822512759969584,0.0
230.0,-0.004083789445843802,0.0022571879102714957,-0.4854178600608314,0.0
231.0,-0.003702610117128437,-0.00019314241558447963,-0.4820172348252786,0.0
232.0,-0.00415392073551626,-0.0007128273694086298,-0.48058402781226733,0.0
233.0,-0.006209025351499749,0.001790975979272939,-0.4820402685180802,0.0
234.0,-0.005590219008816162,0.001024319025974091,-0.48219662742565045,0.0
235.0,-0.006627608114266075,0.0014908001810309585,-0.4813269773200404,0.0
236.0,-0.005761988073047966,0.0032859005522758262,-0.4827422245370054,0.0
237.0,-0.004011893488664904,0.0006229365512264888,-0.48228666771375456,0.0
238.0,0.0,0.0,0.0,0.0
239.0,0.0,0.0,0.0,0.0
240.0,0.0,0.0,0.0,0.0
241.0,0.0,0.0,0.0,0.0
242.0,0.0,0.0,0.0,0.0
243.0,0.0,0.0,0.0,0.0
244.0,0.0,0.0,0.0,0.0
245.0,0.0,0.0,0.0,0.0
246.0,0.0,0.0,0.0,0.0
247.0,0.0,0.0,0.0,0.0
248.0,0.0,0.0,0.0,0.0
249.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0
251.0,0.0,0.0,0.0,0.0
252.0,0.0,0.0,0.0,0.0
253.0,0.0,0.0,0.0,0.0
254.0,0.0,0.0,0.0,0.0
255.0,0.0,0.0,0.0,0.0
256.0,0.0,0.0,0.0,0.0
257.0,0.0,0.0,0.0,0.0
258.0,0.0,0.0,0.0,0.0
259.0,0.0,0.0,0.0,0.0
260.0,0.0,0.0,0.0,0.0
261.0,0.0,0.0,0.0,0.0
262.0,0.0,0.0,0.0,0.0
263.0,0.0,0.0,0.0,0.0
264.0,0.0,0.0,0.0,0.0
265.0,0.0,0.0,0.0,0.0
266.0,0.0,0.0,0.0,0.0
267.0,0.0,0.0,0.0,0.0
268.0,0.0,0.0,0.0,0.0
269.0,0.0,0.0,0.0,0.0
270.0,0.0,0.0,0.0,0.0
271.0,0.0,0.0,0.0,0.0
272.0,0.0,0.0,0.0,0.0
273.0,0.0,0.0,0.0,0.0
274.0,0.0,0.0,0.0,0.0
275.0,0.0,0.0,0.0,0.0
276.0,0.0,0.0,0.0,0.0
277.0,0.0,0.0,0.0,0.0
278.0,0.0,0.0,0.0,0.0
279.0,0.0,0.0,0.0,0.0
280.0,0.0,0.0,0.0,0.0
281.0,0.0,0.0,0.0,0.0
282.0,0.0,0.0,0.0,0.0
283.0,0.0,0.0,0.0,0.0
284.0,0.0,0.0,0.0,0.0
285.0,0.0,0.0,0.0,0.0
286.0,0.0,0.0,0.0,0.0
287.0,0.0,0.0,0.0,0.0
288.0,0.0,0.0,0.0,0.0
289.0,0.0,0.0,0.0,0.0
290.0,0.0,0.0,0.0,0.0
291.0,0.0,0.0,0.0,0.0
292.0,0.0,0.0,0.0,0.0
293.0,0.0,0.0,0.0,0.0
294.0,0.0,0.0,0.0,0.0
295.0,0.0,0.0,0.0,0.0
296.0,0.0,0.0,0.0,0.0
297.0,0.0,0.0,0.0,0.0
298.0,0.0,0.0,0.0,0.0
299.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0
301.0,0.0,0.0,0.0,0.0
302.0,0.0,0.0,0.0,0.0
303.0,0.0,0.0,0.0,0.0
304.0,0.0,0.0,0.0,0.0
305.0,0.0,0.0,0.0,0.0
306.0,0.0,0.0,0.0,0.0
307.0,0.0,0.0,0.0,0.0
308.0,0.0,0.0,0.0,0.0
309.0,0.0,0.0,0.0,0.0
310.0,0.0,0.0,0.0,0.0
311.0,0.0,0.0,0.0,0.0
312.0,0.0,0.0,0.0,0.0
313.0,0.0,0.0,0.0,0.0
314.0,0.0,0.0,0.0,0.0
315.0,-0.010557676985726263,-0.0006891433285234983,-0.3995198714498139,0.0
316.0,-0.007737295532402041,-0.004314622662993448,-0.40040954875633644,0.0
317.0,-0.009156805938287087,-0.004053641043290054,-0.3993315693810409,0.0
318.0,-0.011897841907487897,-0.002054775479470132,-0.40111667012842156,0.0
319.0,-0.01081735466624691,-0.00021141590476180994,-0.4003190920780668,0.0
320.0,-0.009131426842225886,-0.0023128300275482017,-0.4007472089557283,0.0
321.0,-0.006700721808564342,-0.0054570161948052755,-0.4000058723550185,0.0
322.0,-0.01008727116624682,-0.003026388523809654,-0.39818139442936806,0.0
323.0,-0.009787815499198512,-0.0031978277003807346,-0.40060864970260196,0.0
324.0,-0.008621597250629593,-0.0020842609365082517,-0.4041101344814124,0.0
325.0,-0.007496628886649927,-0.005705820597402748,-0.40041900053159835,0.0
326.0,-0.010317952999770999,-0.001269752168437594,-0.40056736845555935,0.0
327.0,-0.008547055908060524,-0.0029300859884560486,-0.402106510836431,0.0
328.0,-0.008864134034424731,-0.0028965617027419065,-0.4007932734324659,0.0
329.0,-0.008997063678726672,-0.0016423591223929902,-0.4007978684876646,0.0
330.0,-0.0087687678866499,-0.002822139204906188,-0.40059292249256506,0.0
331.0,-0.009097318553927041,-0.0010334664790765979,-0.40103621470598183,0.0
332.0,-0.009879136989924653,-0.005564119694083639,-0.3974699064163566,0.0
333.0,-0.0071989220012594465,-0.003644502769119845,-0.40337834459293664,0.0
334.0,-0.010728984129723148,-0.0007315914415584741,-0.40351191652602225,0.0
335.0,-0.007959327540645886,-0.0009694305404697331,-0.4050647878320376,0.0
336.0,-0.007326313799748205,-0.0029834025627706096,-0.4048334055464683,0.0
337.0,-0.005668849811083199,-0.0061889393112948155,-0.40178098407063173,0.0
338.0,-0.007850866564231772,-0.00433190680952385,-0.39920533187918217,0.0
339.0,-0.00899242271238846,-0.0033521770759543453,-0.39937175277965514,0.0
340.0,-0.009818280413098231,-0.000565664219336329,-0.4002350636728622,0.0
341.0,-0.008503304626364611,-0.0030019505323070164,-0.401699004591078,0.0
342.0,-0.007654304748110833,-0.0035160807096945245,-0.4016903888053396,0.0
343.0,-0.008896568031829711,-0.0037217556670601716,-0.3985233820294016,0.0
344.0,-0.008858953016372984,-0.003544780415584515,-0.4005541153011152,0.0
345.0,-0.00569802271238805,-0.008802675417814905,-0.39806776622000645,0.0
346.0,-0.006310746013853961,-0.004871105388167416,-0.39889383560594804,0.0
347.0,-0.009043690188916865,0.000651668899383435,-0.40292208011490344,0.0
348.0,-0.010441190444584247,-0.001658384038961467,-0.40142591699070584,0.0
349.0,-0.008992845468513698,-0.001397820168831663,-0.4014407217899624,0.0
350.0,-0.009546897220059728,-0.0032105595001966974,-0.3997386539253123,0.0
351.0,-0.010644239649645115,-0.0010191165800865045,-0.40269920613551885,0.0
352.0,-0.008920640537783605,-0.0024600560966810364,-0.40214740281598504,0.0
353.0,-0.009365129245477513,0.00013688358520246675,-0.40259335876478514,0.0
354.0,-0.006399476322418317,-0.004480032971139997,-0.40096082609851297,0.0
355.0,-0.009653592062056288,-0.0018832636639120343,-0.4012178644626563,0.0
356.0,-0.010382860832493804,-0.0005242986060605763,-0.39969484480669143,0.0
357.0,-0.010704125234256833,1.1789193361953018e-05,-0.400006466265799,0.0
358.0,-0.00988449948362717,0.000683202272071026,-0.40304475912808335,0.0
359.0,-0.009214784146095705,-0.0035129544978357964,-0.39945773790520406,0.0
360.0,-0.006784479243187489,-0.005003409042372021,-0.40158043096823226,0.0
361.0,-0.008157151424433266,-0.003935110243867391,-0.40074446386802953,0.0
362.0,-0.010177951869017657,-0.0016452526320349151,-0.398160469379182,0.0
363.0,-0.006696218557934544,-0.005337441139971113,-0.4000785103345725,0.0
364.0,-0.008623258261964785,-0.004261256395382592,-0.39936359508921904,0.0
365.0,-0.008413748030684839,-0.005240449207660958,-0.3991426540030415,0.0
366.0,-0.011160171382871634,-0.00036088543722942354,-0.4016164676059479,0.0
367.0,-0.008796731749370417,-0.0027534018239539003,-0.3992973114609665,0.0
368.0,-0.009265897979161756,-0.0024731220844814838,-0.40365467337783023,0.0
369.0,-0.00949556103400501,-0.001934713184704227,-0.402364842682156,0.0
370.0,-0.010529272980688247,-0.0003344605002408163,-0.40120826835192047,0.0
371.0,-0.011045137176551154,-0.0013602170956319493,-0.4010842240588036,0.0
372.0,-0.007181746803297305,-0.0010313416332156872,-0.40327676435113174,0.0
373.0,-0.005952993876574323,-0.005878642503607523,-0.3993403663847583,0.0
374.0,-0.011282344124112725,0.00016289686081589187,-0.4030068704410271,0.0
375.0,-0.007427989903022509,-0.005494468116883228,-0.4006615009200742,0.0
376.0,-0.00940970012594473,-0.0019167570352879074,-0.40209277421764095,0.0
377.0,-0.008237794283375087,-0.005085238897547078,-0.398356440732342,0.0
378.0,-0.007170515624685214,-0.004029892767676916,-0.40186754937174696,0.0
379.0,-0.0107218375246164,0.002459368396956549,-0.40484547313112523,0.0
380.0,-0.008280436731737983,-0.005438861995671236,-0.3980642359423791,0.0
381.0,-0.009983323893977552,-0.0015068368699987485,-0.4031716687293005,0.0
382.0,-0.007771396900503892,-0.004140147730158714,-0.400250166492565,0.0
383.0,-0.00828895684451561,-0.004592032421619013,-0.40112996381378824,0.0
384.0,-0.00765692636272053,-0.004048140155844164,-0.4015609592416356,0.0
385.0,-0.01054458088720969,-0.002876954184704134,-0.39895048757744717,0.0
386.0,-0.00634030187886406,-0.00555511420175792,-0.3998066159242987,0.0
387.0,-0.006740694929470992,-0.003908776955267037,-0.40244289977695175,0.0
388.0,-0.009266519730936647,-0.001218142698412931,-0.40249313700743466,0.0
389.0,-0.00584405237153618,-0.005469988300144514,-0.40319090542379166,0.0
390.0,-0.00652690367632239,-0.006818818647907667,-0.4007437762769517,0.0
391.0,-0.00826115979471038,-0.0038780835266956294,-0.40001315266914494,0.0
392.0,-0.009217842634760807,-0.0011885966623379142,-0.4012154532955388,0.0
393.0,-0.010512489237462768,-0.0012932838239536916,-0.4009194038205477,0.0
394.0,-0.010314103314861356,-0.0027857644170276104,-0.39902550789776925,0.0
395.0,-0.009069174815662733,-0.004068533438279208,-0.3998203850118281,0.0
396.0,-0.009494385028967047,-0.0020575559552673066,-0.4012628510650555,0.0
397.0,-0.011185195400732855,-0.0021959987734488364,-0.4003874367945251,0.0
398.0,-0.007509287851385327,-0.003970440538239692,-0.4019179925037171,0.0
399.0,-0.005902067433249555,-0.004446225200577304,-0.4027936888401486,0.0
400.0,-0.010646636542248627,0.0011940294359173247,-0.40541065310746877,0.0
401.0,-0.00832043950652614,-0.00317254667584959,-0.40133870728117593,0.0
402.0,-0.009608886664987324,-0.002404329813853099,-0.4000735318011149,0.0
403.0,-0.009530028663842467,-0.003218556688967929,-0.3988754360189251,0.0
404.0,-0.009940762710327358,-0.00043403034343444935,-0.40258040847955384,0.0
405.0,-0.008149899192809748,-0.0031808815977962222,-0.40149468706995584,0.0
406.0,-0.009050655107052798,-0.00267225794083722,-0.40166623780111504,0.0
407.0,-0.010331398801007474,-0.001493562467532625,-0.401206703773234,0.0
408.0,-0.008157194591252671,-0.0035356321828677,-0.40367751876816477,0.0
409.0,-0.007993670754407945,-0.0031259502784993947,-0.4022345259052045,0.0
410.0,-0.008979518027249897,-0.0007460126656173943,-0.40286579493916846,0.0
411.0,-0.01152765168639808,5.245981529553204e-05,-0.40352203459479513,0.0
412.0,-0.008629135659491608,-0.0029071780348943915,-0.40139313601554577,0.0
413.0,-0.007967706418135845,-0.0036639842020204172,-0.3994150589739776,0.0
414.0,-0.007753814860201496,-0.004359687865800991,-0.4006325413178436,0.0
415.0,-0.006420705649187121,-0.007489903396300782,-0.3998909825295706,0.0
416.0,-0.0074277490806045265,-0.004998212883117024,-0.4012684289628251,0.0
417.0,-0.009995545338905414,-0.0002589854676638356,-0.4016647767793173,0.0
418.0,-0.008128037802266968,-0.0026193828470419487,-0.4025063177639405,0.0
419.0,-0.009889253676436961,-0.000760481629279991,-0.4026226264515039,0.0
420.0,-0.009853380178841162,-0.0008342493564215761,-0.40349936880297393,0.0
421.0,-0.011893015225440711,0.0014085697142856891,-0.40327202100743487,0.0
422.0,-0.008945338779597072,-0.003102177109668098,-0.40377528771933074,0.0
423.0,-0.010411090467254436,-0.0010612136262627156,-0.40082490804275067,0.0
424.0,-0.007029889974811017,-0.004641443570772819,-0.4022015251199727,0.0
425.0,-0.008470955570528802,-0.003660487370851716,-0.40041677134200726,0.0
426.0,-0.009344436390428262,-0.004135972731601805,-0.40054705439962784,0.0
427.0,-0.007393884697733023,-0.004113076182605432,-0.3989330688678606,0.0
428.0,-0.008514037764483723,-0.0034488407950938934,-0.40193507256319694,0.0
429.0,-0.008658987711243368,-0.004452593115571555,-0.40245663002365645,0.0
430.0,-0.00980068440554153,-0.0003278876782107012,-0.4038825056115241,0.0
431.0,-0.010987270986947493,-0.0010073875862522935,-0.40102242119466014,0.0
432.0,-0.010491624258186527,-0.0005578772222223467,-0.4021918242843864,0.0
433.0,-0.008479619372795927,-0.005051999994228061,-0.39989215634572484,0.0
434.0,-0.00881854176207922,-0.0009604449363769697,-0.40384417442548154,0.0
435.0,-0.009968281386649914,-0.0006563039494949954,-0.40404584712453534,0.0
436.0,-0.010255331476986793,-0.0013810598386458973,-0.40306504821730327,0.0
437.0,-0.004772756608312321,-0.006786551634920851,-0.4015396850315984,0.0
438.0,-0.009305860727959832,-0.004089709157287056,-0.4000533648587361,0.0
439.0,-0.009224046872795828,-0.0008178932352096222,-0.4027494743271372,0.0
440.0,-0.008978944258186291,-0.0031755833362195987,-0.401868361167286,0.0
441.0,-0.01043467378864226,-0.001191777310770057,-0.4012947581885771,0.0
442.0,-0.00783706542191408,-0.002810155391053596,-0.40196944829739767,0.0
443.0,-0.01037933255667494,-0.00016399637806658733,-0.40228165753801937,0.0
444.0,-0.009903387784634541,-0.00036358327849967157,-0.40207402014498117,0.0
445.0,-0.008959107290931904,0.0004073022135641064,-0.40397986573234185,0.0
446.0,-0.006089741564002813,-0.0031059809917356957,-0.3997886040216286,0.0
447.0,-0.00791870004030223,-0.005715392125541205,-0.39765210653717437,0.0
448.0,-0.009641872612090817,-0.0006765871616164252,-0.40260124172304795,0.0
449.0,-0.009319132131898418,-0.0027070811504659176,-0.4005527787580259,0.0
450.0,-0.008109496357682692,-0.0037768951976911757,-0.40087604124163556,0.0
451.0,-0.008817930771060736,-0.0035874832243066707,-0.4012636577509293,0.0
452.0,-0.009188803255095124,-0.003706388378591178,-0.4010896256150724,0.0
453.0,-0.011203898602015427,0.0012053996392496573,-0.40287988535822894,0.0
454.0,-0.008694969110831292,-0.0026375468484847037,-0.40218330759107823,0.0
455.0,-0.009083445337760501,-0.0028731508487473923,-0.40252974638053357,0.0
456.0,-0.006924023331234181,-0.00431856621212123,-0.4007597243215612,0.0
457.0,-0.008425293773757751,-0.0031372080230881116,-0.4024127554139909,0.0
458.0,-0.007599124386649766,-0.004344525802309141,-0.4012500852397766,0.0
459.0,-0.012799734700251883,0.0022505668398266573,-0.40293079195167275,0.0
460.0,-0.008376729679413704,-0.001572948904630866,-0.4028508556944912,0.0
461.0,-0.010762519044080607,0.002005753513708429,-0.40514569688661695,0.0
462.0,-0.010816709725211824,0.00018878168831137413,-0.4039890099543761,0.0
463.0,-0.007819400756926952,-0.006083731383838455,-0.40005701760408907,0.0
464.0,-0.007599871962216708,-0.004037215320346474,-0.4008770021617099,0.0
465.0,-0.012413142355163711,-0.00046093610966816323,-0.40006874066171,0.0
466.0,-0.006624815188916783,-0.006107668799102464,-0.40067660941759564,0.0
467.0,-0.010513928962216541,-0.0017824442554114747,-0.40154227555947924,0.0
468.0,-0.009010213168765905,-0.0026321965844156602,-0.40250623077509273,0.0
469.0,-0.007391541114036899,-0.0022093503948580804,-0.4042805957147683,0.0
470.0,-0.011479768075566981,-0.0012816217445886363,-0.4043963120650559,0.0
471.0,-0.00701645526104861,-0.005457975698544203,-0.40037921589219305,0.0
472.0,-0.008639926356423041,-0.003405381585858886,-0.4009886350390333,0.0
473.0,-0.007738966110602304,-0.004444316374131031,-0.4035248090706317,0.0
474.0,-0.007768166129722985,-0.005216538401154635,-0.4023100929330853,0.0
475.0,-0.009236510275818868,-0.002160488551226299,-0.4023327495241636,0.0
476.0,-0.008170069971376199,-0.004184383101141549,-0.40360283552213555,0.0
477.0,-0.008699348581863966,-0.0015209538354978437,-0.40234984788475836,0.0
478.0,-0.008939109356537678,-0.003183346350518328,-0.4004309798529906,0.0
479.0,-0.005976327425692948,-0.007545263350649224,-0.40057677100000005,0.0
480.0,-0.006818187263567467,-0.005139725032139829,-0.4022883137512672,0.0
481.0,-0.007531712229219374,-0.0042717975699855006,-0.403624367851301,0.0
482.0,-0.009084333485866219,-0.0006742551034152348,-0.40323074531598485,0.0
483.0,-0.009671968109686385,-0.001486156584022041,-0.4022782483710711,0.0
484.0,-0.008185366423173683,-0.005063331233110641,-0.4003172214954374,0.0
485.0,-0.011659336930730582,-0.0016349861255411705,-0.40016464934014856,0.0
486.0,-0.0103893896130068,-0.0015029490699199225,-0.4041167958668467,0.0
487.0,-0.00851055163224162,-0.001412945444444533,-0.40244971618401476,0.0
488.0,-0.0088034488458895,-0.0018186937176966345,-0.40088763056606963,0.0
489.0,-0.010089962123425849,-0.0031060577748917677,-0.4022401282936801,0.0
490.0,-0.009709293530226636,-0.002480151750360865,-0.40121363616542743,0.0
491.0,-0.006367868067323158,-0.006968678492719533,-0.3990081278387966,0.0
492.0,-0.022094464698992622,-0.0013204330404041015,-0.4025339231282527,0.0
493.0,-0.008860065585069684,-0.0044070979115834455,-0.4004294545319365,0.0
494.0,-0.0075451057443326145,-0.003963497949495135,-0.4003374349089218,0.0
495.0,-0.008237578840164936,-0.006027763524858938,-0.39966446437140923,0.0
496.0,-0.005842948580604588,-0.0027550335007214656,-0.40394130469144973,0.0
497.0,-0.009197654520151175,-0.002576417497835331,-0.4016535747286245,0.0
